Timestamp,Filetype,City,District,KPIType,KPI Name,Result
25.12.2020 12:8,requests,Essen,Holsterhausen,KPI 2,Average size,13.6
25.12.2020 12:8,requests,Essen,Holsterhausen,KPI 3,Average €/qm,30.83300653594772
25.12.2020 12:8,requests,Essen,Holsterhausen,KPI 4,Count furnished,10
25.12.2020 12:8,requests,Essen,Holsterhausen,KPI 5,Count unfurnished,17
25.12.2020 12:8,requests,Essen,Margarethenhöhe,KPI 1,Average price,361.75
25.12.2020 12:8,requests,Essen,Margarethenhöhe,KPI 2,Average size,13.454545454545455
25.12.2020 12:8,requests,Essen,Margarethenhöhe,KPI 3,Average €/qm,28.61363636363637
25.12.2020 12:8,requests,Essen,Margarethenhöhe,KPI 4,Count furnished,6
25.12.2020 12:8,requests,Essen,Margarethenhöhe,KPI 5,Count unfurnished,15
25.12.2020 12:8,requests,Essen,Werden,KPI 1,Average price,368.3333333333333
25.12.2020 12:8,requests,Essen,Werden,KPI 2,Average size,13.75
25.12.2020 12:8,requests,Essen,Werden,KPI 3,Average €/qm,28.680147058823533
25.12.2020 12:8,requests,Essen,Werden,KPI 4,Count furnished,7
25.12.2020 12:8,requests,Essen,Werden,KPI 5,Count unfurnished,15
25.12.2020 12:8,requests,Essen,Südviertel,KPI 1,Average price,350.0
25.12.2020 12:8,requests,Essen,Südviertel,KPI 2,Average size,25.0
25.12.2020 12:8,requests,Essen,Südviertel,KPI 3,Average €/qm,14.0
25.12.2020 12:8,requests,Essen,Südviertel,KPI 4,Count furnished,1
25.12.2020 12:8,requests,Essen,Südviertel,KPI 5,Count unfurnished,0
25.12.2020 12:8,requests,Essen,Freisenbruch,KPI 1,Average price,361.75
25.12.2020 12:8,requests,Essen,Freisenbruch,KPI 2,Average size,13.454545454545455
25.12.2020 12:8,requests,Essen,Freisenbruch,KPI 3,Average €/qm,28.61363636363637
25.12.2020 12:8,requests,Essen,Freisenbruch,KPI 4,Count furnished,6
25.12.2020 12:8,requests,Essen,Freisenbruch,KPI 5,Count unfurnished,15
25.12.2020 12:8,requests,Essen,Altendorf,KPI 1,Average price,361.75
25.12.2020 12:8,requests,Essen,Altendorf,KPI 2,Average size,13.454545454545455
25.12.2020 12:8,requests,Essen,Altendorf,KPI 3,Average €/qm,28.61363636363637
25.12.2020 12:8,requests,Essen,Altendorf,KPI 4,Count furnished,6
25.12.2020 12:8,requests,Essen,Altendorf,KPI 5,Count unfurnished,15
25.12.2020 12:8,requests,Essen,Katernberg,KPI 1,Average price,361.75
25.12.2020 12:8,requests,Essen,Katernberg,KPI 2,Average size,13.454545454545455
25.12.2020 12:8,requests,Essen,Katernberg,KPI 3,Average €/qm,28.61363636363637
25.12.2020 12:8,requests,Essen,Katernberg,KPI 4,Count furnished,6
25.12.2020 12:8,requests,Essen,Katernberg,KPI 5,Count unfurnished,15
25.12.2020 12:8,requests,Wuppertal,Barmen,KPI 1,Average price,356.875
25.12.2020 12:8,requests,Wuppertal,Barmen,KPI 2,Average size,15.0
25.12.2020 12:8,requests,Wuppertal,Barmen,KPI 3,Average €/qm,29.35185185185185
25.12.2020 12:8,requests,Wuppertal,Barmen,KPI 4,Count furnished,4
25.12.2020 12:8,requests,Wuppertal,Barmen,KPI 5,Count unfurnished,4
25.12.2020 12:8,requests,Wuppertal,Beyenburg,KPI 1,Average price,346.42857142857144
25.12.2020 12:8,requests,Wuppertal,Beyenburg,KPI 2,Average size,13.5
25.12.2020 12:8,requests,Wuppertal,Beyenburg,KPI 3,Average €/qm,32.083333333333336
25.12.2020 12:8,requests,Wuppertal,Beyenburg,KPI 4,Count furnished,4
25.12.2020 12:8,requests,Wuppertal,Beyenburg,KPI 5,Count unfurnished,3
25.12.2020 12:8,requests,Wuppertal,Cronenberg,KPI 1,Average price,340.625
25.12.2020 12:8,requests,Wuppertal,Cronenberg,KPI 2,Average size,59.0
25.12.2020 12:8,requests,Wuppertal,Cronenberg,KPI 3,Average €/qm,22.055555555555557
25.12.2020 12:8,requests,Wuppertal,Cronenberg,KPI 4,Count furnished,5
