Timestamp,Filetype,City,Postal_Code,KPIType,KPI Name,Result
23.11.2020 19:0,offers,Wuppertal,45147,KPI 5,Count unfurnished,2
23.11.2020 19:0,offers,Wuppertal,45143,KPI 1,Average price,210.0
23.11.2020 19:0,offers,Wuppertal,45143,KPI 2,Average size,28.0
23.11.2020 19:0,offers,Wuppertal,45143,KPI 3,Average €/qm,7.5
23.11.2020 19:0,offers,Wuppertal,45143,KPI 4,Count furnished,0
23.11.2020 19:0,offers,Wuppertal,45143,KPI 5,Count unfurnished,1
23.11.2020 19:0,offers,Wuppertal,45307,KPI 1,Average price,263.3333333333333
23.11.2020 19:0,offers,Wuppertal,45307,KPI 2,Average size,12.666666666666666
23.11.2020 19:0,offers,Wuppertal,45307,KPI 3,Average €/qm,20.793650793650794
23.11.2020 19:0,offers,Wuppertal,45307,KPI 4,Count furnished,3
23.11.2020 19:0,offers,Wuppertal,45307,KPI 5,Count unfurnished,0
23.11.2020 19:0,offers,Wuppertal,45145,KPI 1,Average price,285.0
23.11.2020 19:0,offers,Wuppertal,45145,KPI 2,Average size,15.666666666666666
23.11.2020 19:0,offers,Wuppertal,45145,KPI 3,Average €/qm,18.715686274509807
23.11.2020 19:0,offers,Wuppertal,45145,KPI 4,Count furnished,0
23.11.2020 19:0,offers,Wuppertal,45145,KPI 5,Count unfurnished,3
23.11.2020 19:0,offers,Wuppertal,45239,KPI 1,Average price,300.0
23.11.2020 19:0,offers,Wuppertal,45239,KPI 2,Average size,30.0
23.11.2020 19:0,offers,Wuppertal,45239,KPI 3,Average €/qm,10.0
23.11.2020 19:0,offers,Wuppertal,45239,KPI 4,Count furnished,1
23.11.2020 19:0,offers,Wuppertal,45239,KPI 5,Count unfurnished,0
23.11.2020 19:0,offers,Wuppertal,45257,KPI 1,Average price,300.0
23.11.2020 19:0,offers,Wuppertal,45257,KPI 2,Average size,11.0
23.11.2020 19:0,offers,Wuppertal,45257,KPI 3,Average €/qm,27.272727272727273
23.11.2020 19:0,offers,Wuppertal,45257,KPI 4,Count furnished,1
23.11.2020 19:0,offers,Wuppertal,45257,KPI 5,Count unfurnished,0
